"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 20 14:11:39 GMT 2023","Fri Jan 20 14:11:43 GMT 2023","3895","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing1","testing1",""
"passed","Fri Jan 20 14:12:07 GMT 2023","Fri Jan 20 14:12:11 GMT 2023","3533","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing2","testing2",""
"passed","Fri Jan 20 14:11:58 GMT 2023","Fri Jan 20 14:12:02 GMT 2023","3372","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing3","testing3",""
"passed","Fri Jan 20 14:11:43 GMT 2023","Fri Jan 20 14:11:46 GMT 2023","3550","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing2","testing2",""
"passed","Fri Jan 20 14:11:51 GMT 2023","Fri Jan 20 14:11:55 GMT 2023","3913","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing1","testing1",""
"passed","Fri Jan 20 14:11:46 GMT 2023","Fri Jan 20 14:11:50 GMT 2023","3397","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing3","testing3",""
"passed","Fri Jan 20 14:12:03 GMT 2023","Fri Jan 20 14:12:07 GMT 2023","3920","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing1","testing1",""
"passed","Fri Jan 20 14:11:55 GMT 2023","Fri Jan 20 14:11:58 GMT 2023","3542","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing2","testing2",""
"passed","Fri Jan 20 14:11:31 GMT 2023","Fri Jan 20 14:11:34 GMT 2023","3539","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
"passed","Fri Jan 20 14:11:34 GMT 2023","Fri Jan 20 14:11:38 GMT 2023","3397","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Fri Jan 20 14:12:11 GMT 2023","Fri Jan 20 14:12:14 GMT 2023","3379","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing3","testing3",""
"passed","Fri Jan 20 14:11:26 GMT 2023","Fri Jan 20 14:11:31 GMT 2023","4121","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
