"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 21 11:13:03 GMT 2023","Sat Jan 21 11:13:06 GMT 2023","3662","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing2","testing2",""
"passed","Sat Jan 21 11:13:06 GMT 2023","Sat Jan 21 11:13:10 GMT 2023","3515","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing3","testing3",""
"passed","Sat Jan 21 11:12:49 GMT 2023","Sat Jan 21 11:12:53 GMT 2023","3739","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
"passed","Sat Jan 21 11:13:03 GMT 2023","Sat Jan 21 11:13:06 GMT 2023","3689","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing2","testing2",""
"passed","Sat Jan 21 11:13:06 GMT 2023","Sat Jan 21 11:13:10 GMT 2023","3451","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing3","testing3",""
"passed","Sat Jan 21 11:12:45 GMT 2023","Sat Jan 21 11:12:49 GMT 2023","4234","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing1","testing1",""
"passed","Sat Jan 21 11:12:53 GMT 2023","Sat Jan 21 11:12:57 GMT 2023","3514","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing3","testing3",""
"passed","Sat Jan 21 11:12:45 GMT 2023","Sat Jan 21 11:12:49 GMT 2023","4208","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
"passed","Sat Jan 21 11:12:53 GMT 2023","Sat Jan 21 11:12:56 GMT 2023","3454","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Sat Jan 21 11:12:49 GMT 2023","Sat Jan 21 11:12:53 GMT 2023","3716","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing2","testing2",""
"passed","Sat Jan 21 11:12:58 GMT 2023","Sat Jan 21 11:13:03 GMT 2023","4258","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing1","testing1",""
"passed","Sat Jan 21 11:12:59 GMT 2023","Sat Jan 21 11:13:03 GMT 2023","4215","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing1","testing1",""
