"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 20 16:17:27 GMT 2023","Fri Jan 20 16:17:30 GMT 2023","3345","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing3","testing3",""
"passed","Fri Jan 20 16:17:08 GMT 2023","Fri Jan 20 16:17:12 GMT 2023","3726","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing1","testing1",""
"passed","Fri Jan 20 16:17:20 GMT 2023","Fri Jan 20 16:17:23 GMT 2023","3732","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing1","testing1",""
"passed","Fri Jan 20 16:16:52 GMT 2023","Fri Jan 20 16:16:55 GMT 2023","3356","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Fri Jan 20 16:16:44 GMT 2023","Fri Jan 20 16:16:48 GMT 2023","3838","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
"passed","Fri Jan 20 16:17:03 GMT 2023","Fri Jan 20 16:17:07 GMT 2023","3357","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing3","testing3",""
"passed","Fri Jan 20 16:17:00 GMT 2023","Fri Jan 20 16:17:03 GMT 2023","3469","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing2","testing2",""
"passed","Fri Jan 20 16:17:23 GMT 2023","Fri Jan 20 16:17:27 GMT 2023","3487","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing2","testing2",""
"passed","Fri Jan 20 16:16:48 GMT 2023","Fri Jan 20 16:16:52 GMT 2023","3519","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
"passed","Fri Jan 20 16:17:12 GMT 2023","Fri Jan 20 16:17:15 GMT 2023","3489","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing2","testing2",""
"passed","Fri Jan 20 16:16:56 GMT 2023","Fri Jan 20 16:17:00 GMT 2023","3748","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing1","testing1",""
"passed","Fri Jan 20 16:17:15 GMT 2023","Fri Jan 20 16:17:19 GMT 2023","3346","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing3","testing3",""
