"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 20 14:01:54 GMT 2023","Fri Jan 20 14:01:57 GMT 2023","3404","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing3","testing3",""
"passed","Fri Jan 20 14:02:02 GMT 2023","Fri Jan 20 14:02:06 GMT 2023","3554","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing2","testing2",""
"passed","Sun Jan 01 13:55:20 GMT 2023","Sun Jan 01 13:55:23 GMT 2023","2808","Gradle suite","Gradle test","ExClass","ExClass","ege","ege",""
"passed","Fri Jan 20 14:02:18 GMT 2023","Fri Jan 20 14:02:21 GMT 2023","3425","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing3","testing3",""
"passed","Fri Jan 20 14:01:34 GMT 2023","Fri Jan 20 14:01:38 GMT 2023","4080","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
"broken","Sun Jan 01 12:47:54 GMT 2023","Sun Jan 01 12:47:55 GMT 2023","29","Gradle suite","Gradle test","ExClass","ExClass","test","test",""
"broken","Mon Jan 02 10:06:13 GMT 2023","Mon Jan 02 10:06:13 GMT 2023","4","Gradle suite","Gradle test","tests.ExClass","tests.ExClass","ege","ege",""
"passed","Fri Jan 20 14:01:58 GMT 2023","Fri Jan 20 14:02:02 GMT 2023","3915","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing1","testing1",""
"passed","Fri Jan 20 14:02:14 GMT 2023","Fri Jan 20 14:02:18 GMT 2023","3550","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing2","testing2",""
"passed","Fri Jan 20 14:02:11 GMT 2023","Fri Jan 20 14:02:14 GMT 2023","3741","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing1","testing1",""
"passed","Fri Jan 20 14:01:41 GMT 2023","Fri Jan 20 14:01:45 GMT 2023","3460","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Fri Jan 20 14:01:50 GMT 2023","Fri Jan 20 14:01:54 GMT 2023","3588","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing2","testing2",""
"passed","Fri Jan 20 14:01:38 GMT 2023","Fri Jan 20 14:01:41 GMT 2023","3587","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
"passed","Fri Jan 20 14:01:46 GMT 2023","Fri Jan 20 14:01:50 GMT 2023","3894","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing1","testing1",""
"passed","Fri Jan 20 14:02:06 GMT 2023","Fri Jan 20 14:02:09 GMT 2023","3413","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing3","testing3",""
