"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 20 14:23:49 GMT 2023","Fri Jan 20 14:23:53 GMT 2023","3504","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
"passed","Fri Jan 20 14:23:53 GMT 2023","Fri Jan 20 14:23:56 GMT 2023","3353","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Fri Jan 20 14:23:45 GMT 2023","Fri Jan 20 14:23:49 GMT 2023","3882","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
