"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 20 13:52:18 GMT 2023","Fri Jan 20 13:52:22 GMT 2023","3959","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing1","testing1",""
"passed","Fri Jan 20 13:52:22 GMT 2023","Fri Jan 20 13:52:26 GMT 2023","3625","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing2","testing2",""
"passed","Sun Jan 01 13:55:20 GMT 2023","Sun Jan 01 13:55:23 GMT 2023","2808","Gradle suite","Gradle test","ExClass","ExClass","ege","ege",""
"broken","Sun Jan 01 12:47:54 GMT 2023","Sun Jan 01 12:47:55 GMT 2023","29","Gradle suite","Gradle test","ExClass","ExClass","test","test",""
"broken","Mon Jan 02 10:06:13 GMT 2023","Mon Jan 02 10:06:13 GMT 2023","4","Gradle suite","Gradle test","tests.ExClass","tests.ExClass","ege","ege",""
"passed","Fri Jan 20 13:52:35 GMT 2023","Fri Jan 20 13:52:38 GMT 2023","3581","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing2","testing2",""
"passed","Fri Jan 20 13:52:10 GMT 2023","Fri Jan 20 13:52:13 GMT 2023","3655","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
"passed","Fri Jan 20 13:52:06 GMT 2023","Fri Jan 20 13:52:10 GMT 2023","4001","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
"passed","Fri Jan 20 13:52:51 GMT 2023","Fri Jan 20 13:52:54 GMT 2023","3423","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing3","testing3",""
"passed","Fri Jan 20 13:52:31 GMT 2023","Fri Jan 20 13:52:35 GMT 2023","3940","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing1","testing1",""
"passed","Fri Jan 20 13:52:38 GMT 2023","Fri Jan 20 13:52:42 GMT 2023","3441","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing3","testing3",""
"passed","Fri Jan 20 13:52:26 GMT 2023","Fri Jan 20 13:52:29 GMT 2023","3443","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing3","testing3",""
"passed","Fri Jan 20 13:52:47 GMT 2023","Fri Jan 20 13:52:51 GMT 2023","3618","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing2","testing2",""
"passed","Fri Jan 20 13:52:13 GMT 2023","Fri Jan 20 13:52:17 GMT 2023","3432","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Fri Jan 20 13:52:43 GMT 2023","Fri Jan 20 13:52:47 GMT 2023","3872","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing1","testing1",""
